,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Deck
593,594,0,3,female,29.0,0,2,364848,7.75,,Q,2.0
594,595,0,2,male,37.0,1,0,SC/AH 29037,26.0,,S,2.0
595,596,0,3,male,36.0,1,1,345773,24.15,,S,2.0
596,597,1,2,female,29.0,0,0,248727,33.0,,S,2.0
597,598,0,3,male,49.0,0,0,LINE,0.0,,S,2.0
598,599,0,3,male,29.0,0,0,2664,7.225,,C,2.0
599,600,1,1,male,49.0,1,0,PC 17485,56.9292,A20,C,0.0
600,601,1,2,female,24.0,2,1,243847,27.0,,S,2.0
601,602,0,3,male,29.0,0,0,349214,7.8958,,S,2.0
602,603,0,1,male,29.0,0,0,113796,42.4,,S,2.0
603,604,0,3,male,44.0,0,0,364511,8.05,,S,2.0
604,605,1,1,male,35.0,0,0,111426,26.55,,C,2.0
605,606,0,3,male,36.0,1,0,349910,15.55,,S,2.0
606,607,0,3,male,30.0,0,0,349246,7.8958,,S,2.0
607,608,1,1,male,27.0,0,0,113804,30.5,,S,2.0
608,609,1,2,female,22.0,1,2,SC/Paris 2123,41.5792,,C,2.0
609,610,1,1,female,40.0,0,0,PC 17582,153.4625,C125,S,2.0
610,611,0,3,female,39.0,1,5,347082,31.275,,S,2.0
611,612,0,3,male,29.0,0,0,SOTON/O.Q. 3101305,7.05,,S,2.0
612,613,1,3,female,29.0,1,0,367230,15.5,,Q,2.0
613,614,0,3,male,29.0,0,0,370377,7.75,,Q,2.0
614,615,0,3,male,35.0,0,0,364512,8.05,,S,2.0
615,616,1,2,female,24.0,1,2,220845,65.0,,S,2.0
616,617,0,3,male,34.0,1,1,347080,14.4,,S,2.0
617,618,0,3,female,26.0,1,0,A/5. 3336,16.1,,S,2.0
618,619,1,2,female,4.0,2,1,230136,39.0,F4,S,5.0
619,620,0,2,male,26.0,0,0,31028,10.5,,S,2.0
620,621,0,3,male,27.0,1,0,2659,14.4542,,C,2.0
621,622,1,1,male,42.0,1,0,11753,52.5542,D19,S,3.0
622,623,1,3,male,20.0,1,1,2653,15.7417,,C,2.0
623,624,0,3,male,21.0,0,0,350029,7.8542,,S,2.0
624,625,0,3,male,21.0,0,0,54636,16.1,,S,2.0
625,626,0,1,male,61.0,0,0,36963,32.3208,D50,S,3.0
626,627,0,2,male,57.0,0,0,219533,12.35,,Q,2.0
627,628,1,1,female,21.0,0,0,13502,77.9583,D9,S,3.0
628,629,0,3,male,26.0,0,0,349224,7.8958,,S,2.0
629,630,0,3,male,29.0,0,0,334912,7.7333,,Q,2.0
630,631,1,1,male,80.0,0,0,27042,30.0,A23,S,0.0
631,632,0,3,male,51.0,0,0,347743,7.0542,,S,2.0
632,633,1,1,male,32.0,0,0,13214,30.5,B50,C,1.0
633,634,0,1,male,29.0,0,0,112052,0.0,,S,2.0
634,635,0,3,female,9.0,3,2,347088,27.9,,S,2.0
635,636,1,2,female,28.0,0,0,237668,13.0,,S,2.0
636,637,0,3,male,32.0,0,0,STON/O 2. 3101292,7.925,,S,2.0
637,638,0,2,male,31.0,1,1,C.A. 31921,26.25,,S,2.0
638,639,0,3,female,41.0,0,5,3101295,39.6875,,S,2.0
639,640,0,3,male,29.0,1,0,376564,16.1,,S,2.0
640,641,0,3,male,20.0,0,0,350050,7.8542,,S,2.0
641,642,1,1,female,24.0,0,0,PC 17477,69.3,B35,C,1.0
642,643,0,3,female,2.0,3,2,347088,27.9,,S,2.0
643,644,1,3,male,29.0,0,0,1601,56.4958,,S,2.0
644,645,1,3,female,0.75,2,1,2666,19.2583,,C,2.0
645,646,1,1,male,48.0,1,0,PC 17572,76.7292,D33,C,3.0
646,647,0,3,male,19.0,0,0,349231,7.8958,,S,2.0
647,648,1,1,male,56.0,0,0,13213,35.5,A26,C,0.0
648,649,0,3,male,29.0,0,0,S.O./P.P. 751,7.55,,S,2.0
649,650,1,3,female,23.0,0,0,CA. 2314,7.55,,S,2.0
650,651,0,3,male,29.0,0,0,349221,7.8958,,S,2.0
651,652,1,2,female,18.0,0,1,231919,23.0,,S,2.0
652,653,0,3,male,21.0,0,0,8475,8.4333,,S,2.0
653,654,1,3,female,29.0,0,0,330919,7.8292,,Q,2.0
654,655,0,3,female,18.0,0,0,365226,6.75,,Q,2.0
655,656,0,2,male,24.0,2,0,S.O.C. 14879,73.5,,S,2.0
656,657,0,3,male,29.0,0,0,349223,7.8958,,S,2.0
657,658,0,3,female,32.0,1,1,364849,15.5,,Q,2.0
658,659,0,2,male,23.0,0,0,29751,13.0,,S,2.0
659,660,0,1,male,58.0,0,2,35273,113.275,D48,C,3.0
660,661,1,1,male,50.0,2,0,PC 17611,133.65,,S,2.0
661,662,0,3,male,40.0,0,0,2623,7.225,,C,2.0
662,663,0,1,male,47.0,0,0,5727,25.5875,E58,S,4.0
663,664,0,3,male,36.0,0,0,349210,7.4958,,S,2.0
664,665,1,3,male,20.0,1,0,STON/O 2. 3101285,7.925,,S,2.0
665,666,0,2,male,32.0,2,0,S.O.C. 14879,73.5,,S,2.0
666,667,0,2,male,25.0,0,0,234686,13.0,,S,2.0
667,668,0,3,male,29.0,0,0,312993,7.775,,S,2.0
668,669,0,3,male,43.0,0,0,A/5 3536,8.05,,S,2.0
669,670,1,1,female,29.0,1,0,19996,52.0,C126,S,2.0
670,671,1,2,female,40.0,1,1,29750,39.0,,S,2.0
671,672,0,1,male,31.0,1,0,F.C. 12750,52.0,B71,S,1.0
672,673,0,2,male,70.0,0,0,C.A. 24580,10.5,,S,2.0
673,674,1,2,male,31.0,0,0,244270,13.0,,S,2.0
674,675,0,2,male,29.0,0,0,239856,0.0,,S,2.0
675,676,0,3,male,18.0,0,0,349912,7.775,,S,2.0
676,677,0,3,male,24.5,0,0,342826,8.05,,S,2.0
677,678,1,3,female,18.0,0,0,4138,9.8417,,S,2.0
678,679,0,3,female,43.0,1,6,CA 2144,46.9,,S,2.0
679,680,1,1,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1.0
680,681,0,3,female,29.0,0,0,330935,8.1375,,Q,2.0
681,682,1,1,male,27.0,0,0,PC 17572,76.7292,D49,C,3.0
682,683,0,3,male,20.0,0,0,6563,9.225,,S,2.0
683,684,0,3,male,14.0,5,2,CA 2144,46.9,,S,2.0
684,685,0,2,male,60.0,1,1,29750,39.0,,S,2.0
685,686,0,2,male,25.0,1,2,SC/Paris 2123,41.5792,,C,2.0
686,687,0,3,male,14.0,4,1,3101295,39.6875,,S,2.0
687,688,0,3,male,19.0,0,0,349228,10.1708,,S,2.0
688,689,0,3,male,18.0,0,0,350036,7.7958,,S,2.0
689,690,1,1,female,15.0,0,1,24160,211.3375,B5,S,1.0
690,691,1,1,male,31.0,1,0,17474,57.0,B20,S,1.0
691,692,1,3,female,4.0,0,1,349256,13.4167,,C,2.0
692,693,1,3,male,29.0,0,0,1601,56.4958,,S,2.0
693,694,0,3,male,25.0,0,0,2672,7.225,,C,2.0
694,695,0,1,male,60.0,0,0,113800,26.55,,S,2.0
695,696,0,2,male,52.0,0,0,248731,13.5,,S,2.0
696,697,0,3,male,44.0,0,0,363592,8.05,,S,2.0
697,698,1,3,female,29.0,0,0,35852,7.7333,,Q,2.0
698,699,0,1,male,49.0,1,1,17421,110.8833,C68,C,2.0
699,700,0,3,male,42.0,0,0,348121,7.65,F G63,S,5.0
700,701,1,1,female,18.0,1,0,PC 17757,227.525,C62 C64,C,2.0
701,702,1,1,male,35.0,0,0,PC 17475,26.2875,E24,S,4.0
702,703,0,3,female,18.0,0,1,2691,14.4542,,C,2.0
703,704,0,3,male,25.0,0,0,36864,7.7417,,Q,2.0
704,705,0,3,male,26.0,1,0,350025,7.8542,,S,2.0
705,706,0,2,male,39.0,0,0,250655,26.0,,S,2.0
706,707,1,2,female,45.0,0,0,223596,13.5,,S,2.0
707,708,1,1,male,42.0,0,0,PC 17476,26.2875,E24,S,4.0
708,709,1,1,female,22.0,0,0,113781,151.55,,S,2.0
709,710,1,3,male,29.0,1,1,2661,15.2458,,C,2.0
710,711,1,1,female,24.0,0,0,PC 17482,49.5042,C90,C,2.0
711,712,0,1,male,29.0,0,0,113028,26.55,C124,S,2.0
712,713,1,1,male,48.0,1,0,19996,52.0,C126,S,2.0
713,714,0,3,male,29.0,0,0,7545,9.4833,,S,2.0
714,715,0,2,male,52.0,0,0,250647,13.0,,S,2.0
715,716,0,3,male,19.0,0,0,348124,7.65,F G73,S,5.0
716,717,1,1,female,38.0,0,0,PC 17757,227.525,C45,C,2.0
717,718,1,2,female,27.0,0,0,34218,10.5,E101,S,4.0
718,719,0,3,male,29.0,0,0,36568,15.5,,Q,2.0
719,720,0,3,male,33.0,0,0,347062,7.775,,S,2.0
720,721,1,2,female,6.0,0,1,248727,33.0,,S,2.0
721,722,0,3,male,17.0,1,0,350048,7.0542,,S,2.0
722,723,0,2,male,34.0,0,0,12233,13.0,,S,2.0
723,724,0,2,male,50.0,0,0,250643,13.0,,S,2.0
724,725,1,1,male,27.0,1,0,113806,53.1,E8,S,4.0
725,726,0,3,male,20.0,0,0,315094,8.6625,,S,2.0
726,727,1,2,female,30.0,3,0,31027,21.0,,S,2.0
727,728,1,3,female,29.0,0,0,36866,7.7375,,Q,2.0
728,729,0,2,male,25.0,1,0,236853,26.0,,S,2.0
729,730,0,3,female,25.0,1,0,STON/O2. 3101271,7.925,,S,2.0
730,731,1,1,female,29.0,0,0,24160,211.3375,B5,S,1.0
731,732,0,3,male,11.0,0,0,2699,18.7875,,C,2.0
732,733,0,2,male,29.0,0,0,239855,0.0,,S,2.0
733,734,0,2,male,23.0,0,0,28425,13.0,,S,2.0
734,735,0,2,male,23.0,0,0,233639,13.0,,S,2.0
735,736,0,3,male,28.5,0,0,54636,16.1,,S,2.0
736,737,0,3,female,48.0,1,3,W./C. 6608,34.375,,S,2.0
737,738,1,1,male,35.0,0,0,PC 17755,512.3292,B101,C,1.0
738,739,0,3,male,29.0,0,0,349201,7.8958,,S,2.0
739,740,0,3,male,29.0,0,0,349218,7.8958,,S,2.0
740,741,1,1,male,29.0,0,0,16988,30.0,D45,S,3.0
741,742,0,1,male,36.0,1,0,19877,78.85,C46,S,2.0
742,743,1,1,female,21.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,1.0
743,744,0,3,male,24.0,1,0,376566,16.1,,S,2.0
744,745,1,3,male,31.0,0,0,STON/O 2. 3101288,7.925,,S,2.0
745,746,0,1,male,70.0,1,1,WE/P 5735,71.0,B22,S,1.0
746,747,0,3,male,16.0,1,1,C.A. 2673,20.25,,S,2.0
747,748,1,2,female,30.0,0,0,250648,13.0,,S,2.0
748,749,0,1,male,19.0,1,0,113773,53.1,D30,S,3.0
749,750,0,3,male,31.0,0,0,335097,7.75,,Q,2.0
750,751,1,2,female,4.0,1,1,29103,23.0,,S,2.0
751,752,1,3,male,6.0,0,1,392096,12.475,E121,S,4.0
752,753,0,3,male,33.0,0,0,345780,9.5,,S,2.0
753,754,0,3,male,23.0,0,0,349204,7.8958,,S,2.0
754,755,1,2,female,48.0,1,2,220845,65.0,,S,2.0
755,756,1,2,male,0.67,1,1,250649,14.5,,S,2.0
756,757,0,3,male,28.0,0,0,350042,7.7958,,S,2.0
757,758,0,2,male,18.0,0,0,29108,11.5,,S,2.0
758,759,0,3,male,34.0,0,0,363294,8.05,,S,2.0
759,760,1,1,female,33.0,0,0,110152,86.5,B77,S,1.0
760,761,0,3,male,29.0,0,0,358585,14.5,,S,2.0
761,762,0,3,male,41.0,0,0,SOTON/O2 3101272,7.125,,S,2.0
762,763,1,3,male,20.0,0,0,2663,7.2292,,C,2.0
763,764,1,1,female,36.0,1,2,113760,120.0,B96 B98,S,1.0
764,765,0,3,male,16.0,0,0,347074,7.775,,S,2.0
765,766,1,1,female,51.0,1,0,13502,77.9583,D11,S,3.0
766,767,0,1,male,29.0,0,0,112379,39.6,,C,2.0
767,768,0,3,female,30.5,0,0,364850,7.75,,Q,2.0
768,769,0,3,male,29.0,1,0,371110,24.15,,Q,2.0
769,770,0,3,male,32.0,0,0,8471,8.3625,,S,2.0
770,771,0,3,male,24.0,0,0,345781,9.5,,S,2.0
771,772,0,3,male,48.0,0,0,350047,7.8542,,S,2.0
772,773,0,2,female,57.0,0,0,S.O./P.P. 3,10.5,E77,S,4.0
773,774,0,3,male,29.0,0,0,2674,7.225,,C,2.0
774,775,1,2,female,54.0,1,3,29105,23.0,,S,2.0
775,776,0,3,male,18.0,0,0,347078,7.75,,S,2.0
776,777,0,3,male,29.0,0,0,383121,7.75,F38,Q,5.0
777,778,1,3,female,5.0,0,0,364516,12.475,,S,2.0
778,779,0,3,male,29.0,0,0,36865,7.7375,,Q,2.0
779,780,1,1,female,43.0,0,1,24160,211.3375,B3,S,1.0
780,781,1,3,female,13.0,0,0,2687,7.2292,,C,2.0
781,782,1,1,female,17.0,1,0,17474,57.0,B20,S,1.0
782,783,0,1,male,29.0,0,0,113501,30.0,D6,S,3.0
783,784,0,3,male,29.0,1,2,W./C. 6607,23.45,,S,2.0
784,785,0,3,male,25.0,0,0,SOTON/O.Q. 3101312,7.05,,S,2.0
785,786,0,3,male,25.0,0,0,374887,7.25,,S,2.0
786,787,1,3,female,18.0,0,0,3101265,7.4958,,S,2.0
787,788,0,3,male,8.0,4,1,382652,29.125,,Q,2.0
788,789,1,3,male,1.0,1,2,C.A. 2315,20.575,,S,2.0
789,790,0,1,male,46.0,0,0,PC 17593,79.2,B82 B84,C,1.0
790,791,0,3,male,29.0,0,0,12460,7.75,,Q,2.0
791,792,0,2,male,16.0,0,0,239865,26.0,,S,2.0
792,793,0,3,female,29.0,8,2,CA. 2343,69.55,,S,2.0
793,794,0,1,male,29.0,0,0,PC 17600,30.6958,,C,2.0
794,795,0,3,male,25.0,0,0,349203,7.8958,,S,2.0
795,796,0,2,male,39.0,0,0,28213,13.0,,S,2.0
796,797,1,1,female,49.0,0,0,17465,25.9292,D17,S,3.0
797,798,1,3,female,31.0,0,0,349244,8.6833,,S,2.0
798,799,0,3,male,30.0,0,0,2685,7.2292,,C,2.0
799,800,0,3,female,30.0,1,1,345773,24.15,,S,2.0
800,801,0,2,male,34.0,0,0,250647,13.0,,S,2.0
801,802,1,2,female,31.0,1,1,C.A. 31921,26.25,,S,2.0
802,803,1,1,male,11.0,1,2,113760,120.0,B96 B98,S,1.0
803,804,1,3,male,0.42,0,1,2625,8.5167,,C,2.0
804,805,1,3,male,27.0,0,0,347089,6.975,,S,2.0
805,806,0,3,male,31.0,0,0,347063,7.775,,S,2.0
806,807,0,1,male,39.0,0,0,112050,0.0,A36,S,0.0
807,808,0,3,female,18.0,0,0,347087,7.775,,S,2.0
808,809,0,2,male,39.0,0,0,248723,13.0,,S,2.0
809,810,1,1,female,33.0,1,0,113806,53.1,E8,S,4.0
810,811,0,3,male,26.0,0,0,3474,7.8875,,S,2.0
811,812,0,3,male,39.0,0,0,A/4 48871,24.15,,S,2.0
812,813,0,2,male,35.0,0,0,28206,10.5,,S,2.0
813,814,0,3,female,6.0,4,2,347082,31.275,,S,2.0
814,815,0,3,male,30.5,0,0,364499,8.05,,S,2.0
815,816,0,1,male,29.0,0,0,112058,0.0,B102,S,1.0
816,817,0,3,female,23.0,0,0,STON/O2. 3101290,7.925,,S,2.0
817,818,0,2,male,31.0,1,1,S.C./PARIS 2079,37.0042,,C,2.0
818,819,0,3,male,43.0,0,0,C 7075,6.45,,S,2.0
819,820,0,3,male,10.0,3,2,347088,27.9,,S,2.0
820,821,1,1,female,52.0,1,1,12749,93.5,B69,S,1.0
821,822,1,3,male,27.0,0,0,315098,8.6625,,S,2.0
822,823,0,1,male,38.0,0,0,19972,0.0,,S,2.0
823,824,1,3,female,27.0,0,1,392096,12.475,E121,S,4.0
824,825,0,3,male,2.0,4,1,3101295,39.6875,,S,2.0
825,826,0,3,male,29.0,0,0,368323,6.95,,Q,2.0
826,827,0,3,male,29.0,0,0,1601,56.4958,,S,2.0
827,828,1,2,male,1.0,0,2,S.C./PARIS 2079,37.0042,,C,2.0
828,829,1,3,male,29.0,0,0,367228,7.75,,Q,2.0
829,830,1,1,female,62.0,0,0,113572,80.0,B28,S,1.0
830,831,1,3,female,15.0,1,0,2659,14.4542,,C,2.0
831,832,1,2,male,0.83,1,1,29106,18.75,,S,2.0
832,833,0,3,male,29.0,0,0,2671,7.2292,,C,2.0
833,834,0,3,male,23.0,0,0,347468,7.8542,,S,2.0
834,835,0,3,male,18.0,0,0,2223,8.3,,S,2.0
835,836,1,1,female,39.0,1,1,PC 17756,83.1583,E49,C,4.0
836,837,0,3,male,21.0,0,0,315097,8.6625,,S,2.0
837,838,0,3,male,29.0,0,0,392092,8.05,,S,2.0
838,839,1,3,male,32.0,0,0,1601,56.4958,,S,2.0
839,840,1,1,male,29.0,0,0,11774,29.7,C47,C,2.0
840,841,0,3,male,20.0,0,0,SOTON/O2 3101287,7.925,,S,2.0
841,842,0,2,male,16.0,0,0,S.O./P.P. 3,10.5,,S,2.0
842,843,1,1,female,30.0,0,0,113798,31.0,,C,2.0
843,844,0,3,male,34.5,0,0,2683,6.4375,,C,2.0
844,845,0,3,male,17.0,0,0,315090,8.6625,,S,2.0
845,846,0,3,male,42.0,0,0,C.A. 5547,7.55,,S,2.0
846,847,0,3,male,29.0,8,2,CA. 2343,69.55,,S,2.0
847,848,0,3,male,35.0,0,0,349213,7.8958,,C,2.0
848,849,0,2,male,28.0,0,1,248727,33.0,,S,2.0
849,850,1,1,female,29.0,1,0,17453,89.1042,C92,C,2.0
850,851,0,3,male,4.0,4,2,347082,31.275,,S,2.0
851,852,0,3,male,74.0,0,0,347060,7.775,,S,2.0
852,853,0,3,female,9.0,1,1,2678,15.2458,,C,2.0
853,854,1,1,female,16.0,0,1,PC 17592,39.4,D28,S,3.0
854,855,0,2,female,44.0,1,0,244252,26.0,,S,2.0
855,856,1,3,female,18.0,0,1,392091,9.35,,S,2.0
856,857,1,1,female,45.0,1,1,36928,164.8667,,S,2.0
857,858,1,1,male,51.0,0,0,113055,26.55,E17,S,4.0
858,859,1,3,female,24.0,0,3,2666,19.2583,,C,2.0
859,860,0,3,male,29.0,0,0,2629,7.2292,,C,2.0
860,861,0,3,male,41.0,2,0,350026,14.1083,,S,2.0
861,862,0,2,male,21.0,1,0,28134,11.5,,S,2.0
862,863,1,1,female,48.0,0,0,17466,25.9292,D17,S,3.0
863,864,0,3,female,29.0,8,2,CA. 2343,69.55,,S,2.0
864,865,0,2,male,24.0,0,0,233866,13.0,,S,2.0
865,866,1,2,female,42.0,0,0,236852,13.0,,S,2.0
866,867,1,2,female,27.0,1,0,SC/PARIS 2149,13.8583,,C,2.0
867,868,0,1,male,31.0,0,0,PC 17590,50.4958,A24,S,0.0
868,869,0,3,male,29.0,0,0,345777,9.5,,S,2.0
869,870,1,3,male,4.0,1,1,347742,11.1333,,S,2.0
870,871,0,3,male,26.0,0,0,349248,7.8958,,S,2.0
871,872,1,1,female,47.0,1,1,11751,52.5542,D35,S,3.0
872,873,0,1,male,33.0,0,0,695,5.0,B51 B53 B55,S,1.0
873,874,0,3,male,47.0,0,0,345765,9.0,,S,2.0
874,875,1,2,female,28.0,1,0,P/PP 3381,24.0,,C,2.0
875,876,1,3,female,15.0,0,0,2667,7.225,,C,2.0
876,877,0,3,male,20.0,0,0,7534,9.8458,,S,2.0
877,878,0,3,male,19.0,0,0,349212,7.8958,,S,2.0
878,879,0,3,male,29.0,0,0,349217,7.8958,,S,2.0
879,880,1,1,female,56.0,0,1,11767,83.1583,C50,C,2.0
880,881,1,2,female,25.0,0,1,230433,26.0,,S,2.0
881,882,0,3,male,33.0,0,0,349257,7.8958,,S,2.0
882,883,0,3,female,22.0,0,0,7552,10.5167,,S,2.0
883,884,0,2,male,28.0,0,0,C.A./SOTON 34068,10.5,,S,2.0
884,885,0,3,male,25.0,0,0,SOTON/OQ 392076,7.05,,S,2.0
885,886,0,3,female,39.0,0,5,382652,29.125,,Q,2.0
886,887,0,2,male,27.0,0,0,211536,13.0,,S,2.0
887,888,1,1,female,19.0,0,0,112053,30.0,B42,S,1.0
888,889,0,3,female,29.0,1,2,W./C. 6607,23.45,,S,2.0
889,890,1,1,male,26.0,0,0,111369,30.0,C148,C,2.0
890,891,0,3,male,32.0,0,0,370376,7.75,,Q,2.0
